,Income,NumWebVisitsMonth,CustomerAge,Children,MntTotalProducts,NumTotalPurchases,Education_Graduation,Education_PostGraduation,Education_UnderGraduation,Marital_Status_Married,Dclust
0,58138.0,7,66,0,1269,21,1,0,0,0,0
1,46344.0,5,69,2,18,4,1,0,0,0,0
2,71613.0,4,58,0,602,11,1,0,0,1,0
3,26646.0,6,39,1,35,4,1,0,0,1,0
4,58293.0,5,42,1,334,13,0,1,0,1,0
5,62513.0,6,56,1,660,12,0,1,0,1,0
6,55635.0,6,52,1,464,14,1,0,0,0,0
7,33454.0,8,38,1,142,6,0,1,0,1,0
8,30351.0,9,49,1,38,4,0,1,0,1,0
9,7500.0,8,47,0,33,3,0,0,1,1,1
10,63033.0,2,64,0,735,8,1,0,0,0,0
11,59354.0,6,71,2,288,10,0,1,0,0,0
12,17323.0,8,36,0,34,2,1,0,0,1,0
13,82800.0,3,77,0,1143,14,0,1,0,0,0
14,41850.0,8,43,2,77,6,1,0,0,1,0
15,37760.0,7,77,0,127,7,1,0,0,1,0
16,76995.0,5,74,1,1590,17,0,1,0,1,0
17,33812.0,6,38,1,40,5,0,0,1,0,1
18,37040.0,8,41,0,161,7,1,0,0,1,0
19,58607.0,8,74,1,953,8,0,1,0,1,0
20,65324.0,4,69,1,486,11,0,1,0,1,0
21,40689.0,8,72,1,300,15,1,0,0,1,0
22,18589.0,7,54,0,35,5,1,0,0,0,0
23,53359.0,7,47,2,207,10,1,0,0,1,0
24,38360.0,3,34,1,80,5,1,0,0,1,0
25,84618.0,2,58,0,1585,16,0,1,0,1,0
26,10979.0,5,34,0,22,5,0,1,0,0,0
27,38620.0,3,60,0,173,8,0,1,0,1,0
28,40548.0,5,53,1,115,5,1,0,0,1,0
29,46610.0,6,71,2,204,11,0,1,0,0,0
30,68657.0,7,77,0,987,9,0,1,0,1,0
31,49389.0,7,72,2,59,3,0,1,0,0,0
32,67353.0,2,53,1,870,16,0,1,0,1,0
33,23718.0,7,47,1,23,7,0,0,1,1,1
34,42429.0,5,50,1,61,4,1,0,0,0,0
35,48948.0,6,80,0,651,19,0,1,0,0,0
36,80011.0,4,43,1,1033,16,1,0,0,1,0
37,20559.0,8,38,1,43,4,0,1,0,1,0
38,21994.0,5,66,1,15,1,1,0,0,1,0
39,7500.0,5,48,1,14,5,0,1,0,1,0
40,79941.0,1,47,0,553,7,1,0,0,0,0
41,7500.0,9,27,0,35,7,0,0,1,1,1
42,41728.0,10,55,1,34,3,1,0,0,1,0
43,72550.0,8,69,2,1193,16,0,1,0,1,0
44,65486.0,2,66,1,389,7,1,0,0,0,0
45,79143.0,3,59,0,1467,16,0,1,0,1,0
46,35790.0,7,46,1,38,4,1,0,0,0,0
47,82582.0,1,46,0,1180,14,1,0,0,0,0
48,66373.0,3,45,2,461,13,1,0,0,1,0
49,82384.0,1,68,0,1467,14,0,1,0,1,0
50,70287.0,3,57,0,812,11,1,0,0,0,0
51,27938.0,3,35,1,21,2,1,0,0,0,0
52,55954.0,7,55,1,475,13,0,1,0,1,0
53,75777.0,1,41,0,1276,10,0,1,0,0,0
54,66653.0,3,48,2,572,10,1,0,0,1,0
55,61823.0,7,71,1,664,14,1,0,0,0,0
56,67680.0,5,72,1,594,11,0,1,0,0,0
57,70666.0,4,75,0,805,12,1,0,0,1,0
58,25721.0,7,52,1,10,3,1,0,0,1,0
59,32474.0,7,56,2,11,2,1,0,0,1,0
60,88194.0,5,44,1,1011,22,0,0,1,0,1
61,69096.0,4,65,1,455,8,1,0,0,1,0
62,74854.0,5,53,3,1402,14,1,0,0,1,0
63,66991.0,3,69,0,992,15,0,1,0,1,0
64,65031.0,7,64,1,656,17,1,0,0,1,0
65,60631.0,7,48,2,636,16,0,1,0,1,0
66,28332.0,2,71,0,37,4,1,0,0,1,0
67,40246.0,6,46,1,9,2,1,0,0,0,0
68,75251.0,5,51,0,1757,14,0,1,0,1,0
69,75825.0,4,47,0,1916,13,1,0,0,0,0
70,26326.0,3,47,0,6,1,0,0,1,1,1
71,56046.0,8,58,0,641,13,1,0,0,1,0
72,29760.0,8,38,1,136,8,1,0,0,0,0
73,26304.0,7,54,1,10,2,1,0,0,1,0
74,23559.0,7,50,1,49,6,0,0,1,1,1
75,38620.0,3,60,0,173,8,0,1,0,1,0
76,81361.0,1,36,0,610,14,1,0,0,0,0
77,29440.0,7,63,2,39,3,1,0,0,1,0
78,36138.0,7,53,2,146,9,0,1,0,1,0
79,50388.0,7,66,1,335,11,1,0,0,0,0
80,79593.0,2,50,0,978,12,1,0,0,1,0
81,54178.0,2,56,1,183,5,1,0,0,1,0
82,42394.0,7,51,1,27,2,0,1,0,0,0
83,23626.0,5,53,1,43,7,0,1,0,1,0
84,30096.0,6,40,1,19,3,1,0,0,1,0
85,47916.0,6,63,1,531,16,1,0,0,0,0
86,51813.0,7,51,2,60,4,1,0,0,0,0
87,78497.0,2,72,0,680,13,0,0,1,1,1
88,50150.0,5,40,0,273,9,0,1,0,1,0
89,47823.0,8,63,1,59,4,0,0,1,0,1
90,34554.0,6,64,1,48,4,0,1,0,0,0
91,85693.0,5,44,1,741,16,1,0,0,1,0
92,65846.0,4,78,0,919,10,0,1,0,1,0
93,87195.0,1,64,0,983,15,1,0,0,1,0
94,24594.0,5,44,1,10,2,0,0,1,1,1
95,49096.0,7,59,2,177,9,1,0,0,1,0
96,52413.0,6,54,2,672,14,1,0,0,1,0
97,38557.0,7,45,1,110,6,1,0,0,0,0
98,89058.0,2,63,0,754,10,0,1,0,1,0
99,77298.0,3,44,1,832,13,1,0,0,1,0
100,68126.0,9,32,0,1660,12,0,1,0,0,0
101,57288.0,6,60,1,548,12,0,1,0,1,0
102,86037.0,3,32,0,659,14,1,0,0,0,0
103,43974.0,7,43,1,479,15,0,1,0,1,0
104,50785.0,6,61,2,86,5,1,0,0,0,0
105,90765.0,1,53,0,1458,10,1,0,0,1,0
106,36550.0,9,45,1,231,15,0,0,1,1,1
107,30753.0,5,56,2,42,4,0,0,1,1,1
108,21918.0,6,54,1,14,4,1,0,0,1,0
109,56129.0,4,70,1,501,12,0,1,0,1,0
110,32557.0,5,56,1,66,6,0,1,0,0,0
111,19510.0,7,38,2,16,3,0,1,0,1,0
112,30992.0,7,47,1,31,2,1,0,0,0,0
113,101970.0,2,40,0,851,14,1,0,0,0,0
114,71488.0,1,58,0,319,9,0,0,1,1,1
115,79607.0,1,39,0,1534,10,1,0,0,0,0
116,54348.0,6,70,2,86,4,0,1,0,1,0
117,77376.0,4,67,2,621,13,0,1,0,1,0
118,62998.0,5,71,1,251,14,1,0,0,1,0
119,61331.0,8,65,2,586,17,0,1,0,0,0
120,73448.0,4,54,0,531,10,1,0,0,1,0
121,41551.0,8,59,2,253,11,0,1,0,1,0
122,62981.0,3,56,0,1400,10,0,1,0,1,0
123,9548.0,8,47,1,4,3,0,0,1,0,1
124,33762.0,8,64,3,88,7,0,1,0,1,0
125,35860.0,5,50,2,23,4,0,1,0,0,0
126,36921.0,7,58,2,30,4,0,1,0,0,0
127,92859.0,2,31,0,1944,10,0,1,0,0,0
128,65104.0,7,47,1,970,10,0,1,0,1,0
129,86111.0,2,61,0,1183,13,1,0,0,1,0
130,68352.0,6,49,1,762,16,0,1,0,0,0
131,41883.0,7,35,1,107,9,1,0,0,1,0
132,59809.0,8,47,2,755,9,1,0,0,1,0
133,23957.0,6,48,1,21,3,1,0,0,1,0
134,38547.0,8,42,1,17,2,1,0,0,1,0
135,35688.0,8,50,3,166,12,0,0,1,1,1
136,49605.0,3,57,0,87,4,0,1,0,1,0
137,59354.0,3,70,2,394,9,0,1,0,1,0
138,65747.0,6,54,1,411,13,1,0,0,1,0
139,46344.0,7,51,1,310,12,0,0,1,1,1
140,34176.0,6,35,1,36,7,1,0,0,0,0
141,61010.0,5,71,1,945,15,0,1,0,1,0
142,69372.0,4,74,0,1292,15,1,0,0,1,0
143,49967.0,7,65,1,287,10,1,0,0,0,0
144,60199.0,4,45,3,16,1,1,0,0,0,0
145,55375.0,2,46,1,110,3,1,0,0,1,0
146,80317.0,1,68,0,934,8,1,0,0,0,0
147,30523.0,7,65,3,8,2,0,1,0,0,0
148,70356.0,6,78,0,1614,18,0,1,0,1,0
149,23228.0,8,39,1,105,7,1,0,0,1,0
150,74165.0,2,48,0,1253,10,0,1,0,0,0
151,43482.0,6,57,3,51,5,1,0,0,1,0
152,62551.0,3,70,0,239,14,1,0,0,0,0
153,52332.0,4,64,0,250,6,1,0,0,0,0
154,66951.0,1,35,0,744,8,1,0,0,0,0
155,26091.0,5,66,2,44,6,1,0,0,1,0
156,33456.0,7,58,2,20,3,1,0,0,1,0
157,28718.0,8,41,1,22,4,1,0,0,1,0
158,50447.0,6,53,2,116,5,1,0,0,1,0
159,53537.0,5,64,2,87,5,0,1,0,1,0
160,52074.0,4,56,1,71,5,1,0,0,0,0
161,80427.0,5,48,1,1669,20,0,1,0,1,0
162,83837.0,4,75,0,1032,20,0,1,0,1,0
163,38853.0,7,53,2,43,4,0,1,0,1,0
164,38285.0,2,64,3,7,1,1,0,0,1,0
165,78497.0,2,72,0,680,13,0,0,1,1,1
166,51650.0,5,47,1,177,6,0,1,0,1,0
167,16248.0,6,35,1,33,6,0,0,1,1,1
168,66835.0,2,77,0,841,11,0,1,0,1,0
169,30477.0,6,39,1,54,3,0,1,0,1,0
170,28249.0,6,62,0,17,3,0,0,1,1,1
171,25271.0,9,40,1,29,3,1,0,0,1,0
172,32303.0,5,53,1,37,3,0,1,0,0,0
173,61286.0,5,57,1,463,10,1,0,0,1,0
174,74068.0,2,47,0,1350,15,1,0,0,1,0
175,45759.0,7,59,2,61,4,0,1,0,1,0
176,24882.0,6,45,1,15,3,0,0,1,1,1
177,66973.0,3,34,0,920,16,0,1,0,1,0
178,38872.0,8,35,1,47,5,1,0,0,1,0
179,51148.0,6,50,2,286,10,1,0,0,1,0
180,31353.0,8,46,2,20,4,1,0,0,1,0
181,69661.0,3,43,0,778,11,0,1,0,1,0
182,80067.0,2,69,0,1349,11,1,0,0,1,0
183,86718.0,2,69,0,1015,12,1,0,0,1,0
184,46854.0,8,50,2,176,12,0,1,0,0,0
185,69142.0,5,71,1,486,12,1,0,0,0,0
186,75922.0,1,55,0,956,9,1,0,0,0,0
187,63693.0,6,45,1,967,20,1,0,0,0,0
188,102160.0,4,46,0,930,16,0,1,0,1,0
189,40637.0,7,58,2,35,3,0,1,0,0,0
190,18890.0,6,39,0,11,2,0,1,0,0,0
191,29604.0,9,35,1,26,2,1,0,0,1,0
192,48721.0,6,60,2,212,12,0,1,0,0,0
193,44794.0,6,57,1,61,3,1,0,0,1,0
194,64497.0,8,69,1,1538,20,1,0,0,0,0
195,46097.0,4,67,1,164,9,1,0,0,1,0
196,77972.0,1,69,0,954,11,1,0,0,1,0
197,44377.0,8,55,2,254,14,0,1,0,1,0
198,46014.0,7,49,2,469,18,0,1,0,1,0
199,70951.0,1,38,0,803,8,1,0,0,1,0
200,41443.0,8,46,1,349,15,1,0,0,1,0
201,52195.0,8,45,3,16,2,0,0,1,0,1
202,83790.0,3,75,0,1509,19,0,1,0,1,0
203,44551.0,7,69,1,219,7,0,1,0,0,0
204,69508.0,6,43,1,1018,17,1,0,0,1,0
205,45204.0,3,35,1,66,3,0,0,1,1,1
206,72460.0,1,54,0,927,9,1,0,0,1,0
207,77622.0,3,53,2,681,11,0,1,0,1,0
208,30732.0,8,43,1,181,9,0,1,0,1,0
209,63887.0,6,61,1,1127,20,1,0,0,0,0
210,42011.0,8,45,1,147,8,1,0,0,1,0
211,51369.0,8,47,1,383,12,1,0,0,1,0
212,51537.0,8,71,1,1011,7,1,0,0,0,0
213,79930.0,2,51,0,1618,9,0,1,0,1,0
214,34320.0,8,37,1,14,2,0,1,0,1,0
215,37070.0,7,57,2,375,15,1,0,0,0,0
216,81975.0,7,61,1,1243,10,0,0,1,0,1
217,38590.0,8,52,1,12,2,1,0,0,1,0
218,15033.0,3,72,0,9,2,1,0,0,0,0
219,62745.0,5,58,1,1047,18,0,1,0,1,0
220,22212.0,6,48,1,34,4,0,0,1,1,1
221,23661.0,7,41,1,22,2,0,1,0,1,0
222,79761.0,3,65,1,544,8,0,1,0,0,0
223,7500.0,7,50,1,18,8,1,0,0,0,0
224,73455.0,3,55,0,1719,12,1,0,0,0,0
225,64961.0,3,65,1,772,12,1,0,0,1,0
226,22804.0,9,52,1,22,3,1,0,0,0,0
227,73687.0,2,33,0,1215,13,1,0,0,1,0
228,61074.0,7,65,1,922,23,1,0,0,1,0
229,31686.0,6,59,2,16,3,0,1,0,1,0
230,80134.0,6,51,1,1506,10,1,0,0,1,0
231,75027.0,5,70,1,1168,15,1,0,0,1,0
232,67546.0,3,35,0,1766,15,0,1,0,1,0
233,65176.0,6,54,1,1171,19,0,1,0,1,0
234,31160.0,8,48,1,44,4,0,1,0,0,0
235,29938.0,6,38,1,13,3,1,0,0,0,0
236,102692.0,2,49,0,760,16,1,0,0,0,0
237,26490.0,6,65,0,144,6,0,0,1,1,1
238,75702.0,8,56,2,1031,15,1,0,0,1,0
239,30899.0,6,49,1,32,3,0,1,0,0,0
240,63342.0,6,62,1,1057,14,0,1,0,1,0
241,45989.0,3,59,1,258,9,1,0,0,0,0
242,18701.0,5,59,2,18,6,1,0,0,0,0
243,40737.0,8,66,3,15,2,0,1,0,0,0
244,15287.0,7,44,1,11,4,1,0,0,0,0
245,69674.0,5,55,2,810,15,0,1,0,0,0
246,44159.0,5,53,1,231,9,0,1,0,1,0
247,37717.0,9,45,1,15,2,0,1,0,1,0
248,43776.0,8,71,2,250,13,0,1,0,1,0
249,38179.0,7,57,2,64,8,0,1,0,1,0
250,80124.0,1,60,0,965,11,1,0,0,1,0
251,38097.0,7,53,2,114,9,0,1,0,1,0
252,72940.0,1,53,0,554,7,1,0,0,1,0
253,22070.0,6,53,1,36,6,1,0,0,1,0
254,69267.0,7,70,0,1321,9,1,0,0,0,0
255,31788.0,5,40,1,46,6,0,1,0,0,0
256,61905.0,5,48,1,210,8,0,1,0,1,0
257,29315.0,6,63,2,29,6,1,0,0,1,0
258,33378.0,7,60,2,79,5,1,0,0,0,0
259,66313.0,4,60,1,731,11,0,1,0,1,0
260,60714.0,5,67,0,602,13,1,0,0,0,0
261,77882.0,1,42,0,593,7,0,1,0,1,0
262,69867.0,1,37,0,708,9,0,1,0,0,0
263,63841.0,6,55,1,750,13,0,1,0,0,0
264,24480.0,7,42,1,32,6,0,0,1,1,1
265,51369.0,8,47,1,383,12,1,0,0,1,0
266,37760.0,7,77,0,127,7,1,0,0,1,0
267,65640.0,2,49,1,360,7,0,1,0,1,0
268,44319.0,5,48,2,34,4,0,1,0,1,0
269,30631.0,7,49,1,41,5,1,0,0,1,0
270,75278.0,3,71,0,632,10,1,0,0,1,0
271,50898.0,5,67,2,555,21,0,1,0,1,0
272,79946.0,3,57,0,1143,17,1,0,0,0,0
273,35416.0,8,74,0,332,11,0,1,0,0,0
274,32414.0,7,39,0,31,2,0,0,1,1,1
275,38361.0,7,54,1,95,7,1,0,0,1,0
276,82497.0,4,43,0,1479,10,1,0,0,1,0
277,16626.0,9,52,2,33,6,1,0,0,1,0
278,29672.0,6,58,2,13,1,1,0,0,1,0
279,55951.0,8,71,1,1321,12,0,1,0,1,0
280,35388.0,7,35,1,17,2,0,0,1,0,1
281,42386.0,8,37,1,85,4,0,1,0,1,0
282,68627.0,1,41,0,673,6,1,0,0,0,0
283,57912.0,5,58,1,881,16,0,1,0,0,0
284,35246.0,5,65,2,48,8,1,0,0,0,0
285,58821.0,6,67,1,681,12,0,0,1,1,1
286,46377.0,4,45,1,83,4,0,1,0,1,0
287,39747.0,8,35,1,188,9,1,0,0,0,0
288,23976.0,7,39,1,36,7,1,0,0,1,0
289,80950.0,2,62,0,784,14,0,1,0,1,0
290,27038.0,9,57,0,52,4,1,0,0,0,0
291,77457.0,1,76,0,1086,8,1,0,0,0,0
292,64100.0,7,59,1,536,12,0,1,0,1,0
293,42670.0,4,31,0,202,7,0,1,0,1,0
294,12571.0,6,47,1,22,8,1,0,0,0,0
295,22574.0,7,56,3,33,4,1,0,0,1,0
296,70893.0,3,47,0,1373,13,0,1,0,0,0
297,54198.0,4,57,2,213,10,1,0,0,1,0
298,28839.0,5,67,2,31,4,0,1,0,1,0
299,40321.0,7,51,2,69,5,1,0,0,1,0
300,66503.0,3,38,1,283,9,1,0,0,0,0
301,30833.0,5,72,2,18,3,1,0,0,1,0
302,64795.0,2,52,1,536,9,1,0,0,1,0
303,34421.0,7,49,1,13,2,1,0,0,1,0
304,47025.0,7,58,2,19,2,0,1,0,0,0
305,64325.0,7,62,1,1144,18,0,1,0,0,0
306,40464.0,8,70,1,559,16,1,0,0,0,0
307,62187.0,3,66,0,1067,13,1,0,0,1,0
308,14849.0,8,47,1,51,5,0,1,0,0,0
309,27255.0,7,39,1,34,2,1,0,0,1,0
310,54432.0,4,73,3,38,2,0,1,0,1,0
311,29999.0,8,37,1,134,8,0,1,0,0,0
312,24072.0,8,40,1,16,2,1,0,0,0,0
313,33996.0,4,34,0,57,3,0,1,0,0,0
314,66334.0,5,67,1,1138,14,0,1,0,1,0
315,35178.0,7,52,1,37,3,0,1,0,1,0
316,22010.0,8,40,1,22,4,1,0,0,1,0
317,62204.0,3,63,2,610,10,1,0,0,0,0
318,75693.0,4,55,0,1243,16,1,0,0,0,0
319,30675.0,8,51,1,28,2,1,0,0,1,0
320,83003.0,3,58,0,1487,14,1,0,0,1,0
321,68655.0,3,35,0,1307,10,1,0,0,0,0
322,41411.0,6,37,0,107,4,1,0,0,0,0
323,55212.0,8,54,1,1148,9,0,1,0,1,0
324,59292.0,3,73,1,460,10,0,1,0,1,0
325,27190.0,8,50,1,14,2,0,0,1,1,1
326,82623.0,1,71,0,442,12,1,0,0,0,0
327,44300.0,6,58,2,39,3,1,0,0,1,0
328,84835.0,1,53,0,672,9,1,0,0,0,0
329,30372.0,7,52,2,27,5,1,0,0,0,0
330,33181.0,6,47,1,12,2,0,1,0,1,0
331,71113.0,4,66,1,783,17,1,0,0,1,0
332,71952.0,4,37,1,1191,14,1,0,0,1,0
333,69759.0,3,57,0,986,13,0,1,0,0,0
334,72099.0,1,49,0,1047,8,1,0,0,1,0
335,60000.0,6,47,1,1265,19,0,1,0,0,0
336,38643.0,7,45,2,38,4,1,0,0,0,0
337,50737.0,6,68,1,89,3,1,0,0,1,0
338,68462.0,1,54,0,1410,7,0,1,0,1,0
339,65073.0,2,80,0,823,9,0,1,0,1,0
340,46681.0,5,75,2,353,12,0,1,0,1,0
341,78618.0,2,66,0,1717,12,1,0,0,1,0
342,62187.0,4,54,1,595,11,0,1,0,0,0
343,28442.0,4,45,2,32,6,1,0,0,1,0
344,37717.0,9,45,1,15,2,0,1,0,1,0
345,51479.0,7,56,2,415,16,1,0,0,1,0
346,54803.0,4,54,1,496,10,1,0,0,0,0
347,79530.0,2,63,0,1148,15,1,0,0,1,0
348,31615.0,7,47,1,25,4,1,0,0,0,0
349,72025.0,3,61,0,1415,8,1,0,0,1,0
350,52614.0,8,48,1,931,8,0,1,0,0,0
351,35684.0,6,39,1,21,2,0,0,1,1,1
352,48178.0,8,48,2,208,12,1,0,0,1,0
353,29548.0,4,53,1,14,3,0,1,0,0,0
354,63810.0,8,57,1,1242,11,1,0,0,0,0
355,38578.0,8,51,2,64,6,0,1,0,0,0
356,46098.0,8,48,2,84,9,0,1,0,0,0
357,22585.0,9,53,0,27,3,1,0,0,0,0
358,30279.0,8,34,1,28,2,1,0,0,0,0
359,66426.0,6,62,1,1164,10,0,1,0,1,0
360,30822.0,7,54,1,25,2,1,0,0,0,0
361,33581.0,8,54,2,16,2,0,1,0,1,0
362,19986.0,7,38,1,14,1,1,0,0,1,0
363,27421.0,7,69,0,151,8,1,0,0,0,0
364,35688.0,8,50,3,166,12,0,0,1,1,1
365,36143.0,3,42,1,13,2,0,1,0,0,0
366,10245.0,5,52,1,18,6,1,0,0,0,0
367,43795.0,7,55,1,378,13,0,1,0,1,0
368,63381.0,2,63,1,763,13,1,0,0,1,0
369,38823.0,6,74,1,81,4,1,0,0,1,0
370,83664.0,5,55,2,1038,7,0,1,0,0,0
371,90300.0,1,44,0,1514,11,1,0,0,1,0
372,62499.0,4,44,1,205,6,0,1,0,1,0
373,74293.0,2,30,0,862,10,1,0,0,0,0
374,51012.0,6,77,0,174,6,0,1,0,1,0
375,70777.0,3,55,1,702,11,0,1,0,1,0
376,68682.0,2,32,0,1424,14,0,1,0,1,0
377,43824.0,8,52,2,139,8,1,0,0,1,0
378,15345.0,8,39,1,23,4,1,0,0,1,0
379,23442.0,7,36,1,8,2,1,0,0,0,0
380,14515.0,7,43,1,19,8,0,0,1,1,1
381,31395.0,6,67,2,49,7,0,0,1,0,1
382,75276.0,5,58,0,840,14,1,0,0,1,0
383,42373.0,5,49,2,133,8,1,0,0,0,0
384,30507.0,7,63,0,175,7,1,0,0,1,0
385,55521.0,7,68,3,442,18,0,1,0,0,0
386,48006.0,6,58,2,34,2,1,0,0,1,0
387,27213.0,8,51,1,48,5,0,1,0,0,0
388,65808.0,6,52,2,242,9,0,1,0,0,0
389,30351.0,9,49,1,38,4,0,1,0,1,0
390,50437.0,7,60,2,471,11,1,0,0,1,0
391,23616.0,8,41,1,37,5,0,0,1,0,1
392,53858.0,4,47,1,681,11,1,0,0,1,0
393,66465.0,6,68,1,1404,23,0,1,0,1,0
394,46923.0,7,36,1,183,9,1,0,0,0,0
395,75072.0,3,61,1,926,11,1,0,0,1,0
396,75865.0,1,80,0,1074,9,0,1,0,1,0
397,19789.0,5,48,1,16,6,0,0,1,1,1
398,80134.0,5,29,0,1274,10,1,0,0,1,0
399,91065.0,3,42,0,1044,17,1,0,0,0,0
400,49505.0,8,52,2,704,21,0,1,0,1,0
401,37401.0,7,50,1,41,4,0,1,0,1,0
402,30096.0,6,40,1,19,3,1,0,0,1,0
403,18492.0,8,41,1,6,2,0,1,0,1,0
404,82584.0,1,49,0,1247,8,0,1,0,1,0
405,93027.0,2,82,0,2043,17,0,1,0,1,0
406,48686.0,8,70,3,17,2,1,0,0,1,0
407,92910.0,1,37,0,1480,14,1,0,0,1,0
408,75433.0,6,34,1,1097,9,1,0,0,1,0
409,10404.0,5,34,1,15,3,0,0,1,1,1
410,61314.0,3,55,1,567,12,1,0,0,1,0
411,84865.0,4,62,0,1613,7,0,1,0,0,0
412,42387.0,8,34,1,470,14,1,0,0,1,0
413,75236.0,4,59,1,904,12,1,0,0,1,0
414,30015.0,5,53,1,47,3,1,0,0,0,0
415,50943.0,5,67,1,38,2,0,1,0,1,0
416,67272.0,5,57,1,663,11,1,0,0,0,0
417,51529.0,8,74,1,439,12,0,1,0,0,0
418,32011.0,7,52,1,114,6,0,1,0,1,0
419,7500.0,8,37,1,17,4,0,0,1,1,1
420,28691.0,8,34,1,22,2,1,0,0,1,0
421,56223.0,4,75,1,136,5,0,1,0,1,0
422,18100.0,5,77,0,6,1,1,0,0,1,0
423,30279.0,8,34,1,28,2,1,0,0,0,0
424,20130.0,8,49,0,9,2,0,0,1,1,1
425,23295.0,8,64,0,1,2,1,0,0,0,0
426,42618.0,8,51,1,164,7,0,1,0,0,0
427,81246.0,1,59,0,1125,10,1,0,0,0,0
428,24027.0,8,47,1,32,4,1,0,0,1,0
429,55707.0,3,70,1,297,7,0,1,0,1,0
430,57959.0,3,68,1,768,16,1,0,0,0,0
431,56796.0,7,54,1,855,20,1,0,0,1,0
432,36230.0,5,52,1,46,3,0,1,0,0,0
433,70829.0,3,43,2,317,8,0,0,1,1,1
434,65991.0,7,47,1,890,17,1,0,0,1,0
435,38988.0,8,51,3,291,13,1,0,0,1,0
436,89572.0,4,57,0,1604,15,0,0,1,0,1
437,42207.0,6,39,1,199,9,0,1,0,1,0
438,50300.0,2,71,1,218,5,1,0,0,1,0
439,66664.0,3,41,0,941,13,0,0,1,1,1
440,60597.0,7,59,1,779,8,1,0,0,1,0
441,70165.0,1,74,0,414,11,1,0,0,0,0
442,50520.0,6,65,1,118,6,0,1,0,0,0
443,80124.0,1,60,0,965,11,1,0,0,1,0
